vendor_id,company_name,industry,country,city,contact_person,email,phone,rating,average_delivery_days,contract_start,contract_end,risk_score,preferred_vendor
VND154E8965,Padilla Ltd,Manufacturing,Algeria,New Tara,Keith Foster,jameswarren@example.org,001-283-886-9617x494,3.5,7,2020-02-22,2023-08-15,16.54,No
VND1C52ED63,Flowers-Weaver,Manufacturing,Bulgaria,Thomasborough,Lisa Allen,vmathews@example.org,6905374014,3.8,8,2020-09-04,2023-12-23,39.01,No
VND6B54C68D,Moore-Walker,Technology,Sudan,Ochoaville,Jamie White,angela68@example.com,+1-869-913-8047x5384,4.6,6,2022-10-17,2026-12-27,2.31,No
VND4D8ED92A,"Grant, Whitehead and Suarez",Manufacturing,Kenya,Kimberlyport,Mindy Maxwell,xcampbell@example.net,+1-750-709-7283x5846,3.4,13,2021-02-02,2022-05-27,29.02,No
VND23FDC749,Whitaker Inc,Pharmaceuticals,Kyrgyz Republic,East Alexandra,Patrick Martinez,kelly52@example.com,(315)880-5402,4.4,8,2022-12-15,2026-05-08,24.2,No
VNDD39C47AD,Soto-Reed,Electronics,Belgium,New Stephen,Deborah Roberts,danielle85@example.net,715.380.8088,4.3,7,2021-02-22,2022-08-09,18.96,No
VND7A22016F,"Cook, Wright and Tanner",Textiles,Swaziland,Fitzgeraldshire,Gregory Herrera,williamsnicholas@example.net,838.756.9225x877,5.0,6,2021-08-24,2026-08-15,22.0,No
VND275CA511,"Nichols, Foster and Williams",Textiles,Faroe Islands,Lake Monicatown,Maria Thomas,crawforddaniel@example.org,516-310-7352,4.9,5,2022-08-27,2024-03-16,35.92,No
VNDF78A924D,"Wallace, Morrison and Roberts",Pharmaceuticals,Venezuela,New Kristinside,Kara Olsen,michael55@example.org,5673606912,4.2,6,2022-09-18,2025-02-24,11.67,Yes
VND768A7583,Gonzalez-Velasquez,Technology,Israel,South Taylorchester,John Hayes,mary07@example.org,948-380-2708x768,4.1,1,2020-06-16,2022-04-05,16.17,Yes
VND7B4F5D31,"Hall, Duncan and Johnson",Technology,Palau,Lisaborough,Tyler Pineda,davidfreeman@example.org,+1-502-628-3849x8385,5.0,6,2021-10-14,2023-08-03,0.0,No
VNDA68A83A5,"Walker, Ryan and Bennett",Consumer Goods,Brunei Darussalam,Fernandezhaven,Derek Davis,james02@example.org,001-945-377-4774x245,4.9,11,2023-11-04,2027-06-27,8.8,No
VND507751E2,Noble-Munoz,Consumer Goods,Bosnia and Herzegovina,East Scott,Autumn Cole,mccallandrew@example.net,(348)731-2297x788,4.4,4,2022-08-05,2024-03-04,22.03,No
VNDAE27E9B6,"Holmes, Burgess and Serrano",Consumer Goods,Montenegro,Robinsonbury,Martha Richards,ashley53@example.net,853.311.3407,3.5,4,2020-02-25,2023-08-06,31.09,No
VND76F0F0E0,Leach PLC,Consumer Goods,Ethiopia,New James,Zachary Jacobson,rachelsmith@example.com,001-834-335-3302x056,2.9,10,2022-11-20,2026-05-26,34.34,Yes
VND020FD5AF,Gill-Mcgee,Manufacturing,Falkland Islands (Malvinas),Benjaminland,Steven Moore,michelle97@example.org,908.614.0334x41860,3.4,5,2023-09-11,2025-11-15,0.0,No
VND489E103A,"Gutierrez, Powers and Butler",Electronics,Lao People's Democratic Republic,West Bradley,Christopher Thompson,heathersutton@example.org,451.620.3745,4.3,7,2023-07-20,2027-09-04,45.55,Yes
VND07F575C8,Jackson Inc,Technology,Vietnam,Port Johnshire,Leroy Smith,jessica57@example.com,972-222-9977x12855,4.5,7,2020-05-25,2024-11-12,63.3,No
VND34264845,Lowe and Sons,Pharmaceuticals,Zambia,West John,Joseph Cox,oallen@example.com,6839946944,4.5,11,2022-05-20,2024-01-01,4.58,No
VND2258ABB1,Hayes Group,Metals,Seychelles,North Kellyton,Erika Curtis,kevinmurphy@example.org,257.216.0629,4.3,11,2021-05-06,2024-12-14,42.93,No
VNDE13413E5,"Mason, Martinez and Keller",Technology,Panama,Melissafurt,Andrew Bennett,flowersrebecca@example.net,+1-666-407-7850x0502,3.4,9,2022-07-11,2023-12-16,37.63,No
VND8E10A670,"Bauer, Bryant and Flores",Manufacturing,Pitcairn Islands,West Maria,Michael Evans,rvance@example.org,6343786556,4.6,5,2021-02-04,2025-07-06,38.04,No
VND6FADEC72,Silva-Bowers,Electronics,Saint Helena,Heatherborough,Trevor King,adkinsbrenda@example.net,933.451.4013x05046,3.5,7,2022-05-08,2024-11-02,58.33,Yes
VND08CE8CA7,Beard-Walters,Logistics,Turkmenistan,New Jesus,Caleb Rodriguez,stevenrobertson@example.net,4037146846,3.9,5,2021-07-16,2022-11-18,10.46,No
VNDA6643FA7,Buckley PLC,Pharmaceuticals,Cote d'Ivoire,Richardfort,Louis Parsons,jennifer31@example.net,942-811-9563,3.3,6,2021-10-02,2026-01-29,18.01,No
VND0B515B0E,Butler Ltd,Electronics,Bahamas,Rodriguezland,Brandy Harris,duncancarol@example.org,+1-605-722-6539x7462,4.1,9,2022-06-13,2025-07-25,35.92,No
VND11B92497,Clark Ltd,Electronics,Austria,South Sara,Matthew Mcdonald,lisa81@example.com,+1-493-963-6172,3.2,4,2022-11-05,2024-03-24,0.0,Yes
VNDC995E3B7,Noble-Anderson,Metals,Marshall Islands,New Richardmouth,Donna Johnson,woodcolleen@example.org,881.591.1533x035,4.0,14,2021-02-21,2025-03-30,28.06,No
VNDF464A966,"Ortega, Faulkner and Turner",Consumer Goods,Peru,Whiteshire,Stacy Cuevas,mmitchell@example.org,462.387.7639x5398,4.0,10,2020-08-04,2022-04-11,38.49,No
VND411B979D,"Ross, Golden and Lozano",Chemicals,Haiti,West Taylor,Pamela Smith,traviskelly@example.com,200-371-2421,4.6,3,2020-10-06,2022-07-06,21.53,No
VNDA402B738,Williams-Mitchell,Energy,French Southern Territories,Johnstonchester,Jimmy Wright,patricia22@example.com,428-450-4650,4.0,7,2023-06-04,2028-03-24,32.1,No
VND35CDCFF0,Castro Group,Technology,Yemen,Evansborough,Darius Higgins,holdertimothy@example.org,001-663-453-1909x565,5.0,6,2021-03-30,2022-10-24,19.58,No
VNDDA6D8C81,"Warren, Mcguire and Stein",Textiles,Vietnam,Kingberg,John Clark,ulawson@example.com,(429)787-7842,3.6,6,2021-06-18,2024-07-01,39.54,No
VND3AF51314,Hall PLC,Logistics,Finland,Derekburgh,Troy Strong,deanann@example.com,701-427-2725x98296,5.0,12,2022-03-10,2025-01-25,54.79,Yes
VND49098C56,"Scott, Malone and Bridges",Metals,Uganda,North Trevor,Kara Collier,melvinhart@example.org,(907)978-5625x5645,3.3,8,2022-04-04,2026-03-24,23.7,No
VND18221D96,Smith-Morgan,Logistics,United States Minor Outlying Islands,New Gregorymouth,Catherine Orr,daniellesmith@example.com,652-356-6945x870,4.8,3,2020-03-07,2022-10-08,37.39,No
VND4706504E,"Parker, Robbins and Cooper",Consumer Goods,Croatia,Lake Ernestburgh,Mr. Derek Adams,ljackson@example.com,355-775-7911,4.6,3,2023-08-13,2024-12-17,29.71,No
VND557FD788,Hunt-Guzman,Manufacturing,Anguilla,South Melissa,Heather West,rogercastillo@example.net,275-649-6529x888,4.8,7,2022-04-29,2026-02-07,40.82,Yes
VND79774EB1,Jimenez Inc,Chemicals,Angola,Lake Kristimouth,Melinda Ortega,fjimenez@example.org,+1-829-611-0370x404,4.5,7,2023-05-30,2027-07-04,22.11,Yes
VNDF909C443,Adams LLC,Manufacturing,Portugal,Greeneborough,Rachel Johnson,freemantracy@example.com,641-440-6171,3.6,3,2023-10-02,2025-07-06,55.17,No
VND29251C8F,"Cardenas, Howard and Turner",Metals,Saint Pierre and Miquelon,Thomasbury,Christopher Holloway,dennis73@example.net,7693738451,5.0,4,2023-11-25,2028-05-19,47.92,No
VND389A891A,"Finley, Duncan and Reed",Logistics,Marshall Islands,Port Haley,Samuel Lee,sroach@example.org,(561)236-8477x155,4.6,7,2023-12-07,2025-03-13,51.7,No
VND7290C297,Lawson-Williams,Technology,Senegal,East Melissa,Nicole Calderon,weberdebra@example.com,837.542.1473x034,3.4,6,2022-06-05,2026-02-23,23.03,No
VND57CA31A1,Jensen Ltd,Electronics,Syrian Arab Republic,Mccoyville,Nicole Lopez,todd59@example.org,001-871-732-3274,3.8,11,2023-08-10,2025-01-13,15.07,No
VNDD6D686D6,"Cruz, Johnson and Clarke",Consumer Goods,Germany,East Jackieport,Joel David,rhodesjohn@example.org,001-897-251-0625x580,5.0,7,2021-04-10,2023-05-01,4.82,Yes
VND22E4CBF8,Marshall-Smith,Electronics,Greenland,Port Christopherport,Felicia Craig,pdavidson@example.com,001-700-727-1520x906,4.6,3,2022-10-09,2026-11-29,7.85,No
VND589660CD,Vaughan Group,Manufacturing,Namibia,East Crystalchester,Jaime Bishop,austin12@example.com,+1-679-598-5375x0301,3.7,7,2021-01-19,2022-12-31,42.32,No
VND19CF5E06,Davis and Sons,Consumer Goods,Reunion,Eatonton,James Edwards Jr.,marypowell@example.org,293.216.9886x7897,4.1,4,2022-01-18,2024-07-26,17.14,No
VNDEB6F8ED3,"West, Smith and Swanson",Manufacturing,Greece,Nunezmouth,Anthony Johnson,mitchellnatalie@example.org,+1-706-295-3817,3.8,7,2020-11-18,2024-06-10,22.73,No
VND4DC2D394,Lynch and Sons,Manufacturing,Jamaica,Leehaven,Victoria Cook,nancydavenport@example.com,+1-395-808-2301x965,4.0,8,2022-09-06,2026-06-25,47.25,No
VNDE1A395FA,Padilla Group,Pharmaceuticals,Malaysia,New Jimmy,John Bradley,pamela84@example.org,(899)668-6394x091,3.6,9,2021-08-10,2024-02-17,14.39,Yes
VND999ED598,Gonzales LLC,Energy,Denmark,Jenkinsland,Aaron Daniel,sharonhill@example.com,(943)715-5867,5.0,1,2020-12-21,2023-07-01,57.81,Yes
VND7DD7F0E9,Conner LLC,Chemicals,Singapore,Port Alanborough,Leslie Reyes,dustinwatson@example.net,001-372-856-7268x260,4.6,7,2023-10-27,2028-07-04,75.22,No
VND1FA33A03,"Anderson, Williams and Mcdonald",Energy,Greenland,Port Howardside,Jodi Henderson,sharris@example.org,(756)956-6639x22916,3.7,5,2020-04-11,2021-06-24,26.89,Yes
VND590E7C93,"Henderson, Rodriguez and Wheeler",Logistics,Holy See (Vatican City State),Durhamport,Sharon Carr,tanya36@example.net,815.833.8130x09568,4.8,6,2020-03-28,2024-03-31,59.11,Yes
VNDAEE88F85,Jimenez-Mills,Energy,Morocco,South George,Alexa Davidson,johnsonaaron@example.com,810-282-8408x16982,4.5,7,2022-08-28,2027-03-27,53.36,No
VND4520F17A,Fowler-Dalton,Consumer Goods,Haiti,South Joshuaburgh,Douglas Cunningham,brandon60@example.net,861-996-5557,3.7,7,2020-09-17,2025-03-17,2.42,Yes
VNDF7A9FFF9,"Anderson, Gibson and Griffin",Technology,South Georgia and the South Sandwich Islands,Lake Matthew,Nicole Skinner,robertbender@example.org,872.604.6594x96903,3.9,1,2023-05-28,2027-08-14,31.86,No
VND439CBBCF,Myers Ltd,Logistics,Cyprus,North Teresachester,Jennifer Perez,kelly69@example.org,001-520-796-6408x771,2.8,5,2023-04-10,2027-11-26,25.81,Yes
VND4EC61792,Brooks and Sons,Pharmaceuticals,Cuba,Clarktown,Victoria Patton,richardreyes@example.net,368.727.4424x722,3.7,9,2020-08-24,2022-01-07,0.0,No
VNDF5F231C0,Martin-Wright,Manufacturing,Netherlands,South Suzanneville,Heather Parker,caitlynrocha@example.org,767-942-4848,4.7,2,2022-04-01,2025-10-12,28.65,No
VNDB8A208B5,"Scott, Fuller and Payne",Electronics,Myanmar,North Lindsey,Charlotte Shaw,steven30@example.org,933.224.8371x9441,4.2,4,2021-06-27,2025-03-27,10.11,No
VND2500CE76,"Fox, White and Murphy",Energy,Iran,Lake Chadfort,Michael Reed,teresa31@example.org,517.830.3328,5.0,7,2021-05-17,2025-03-02,52.04,Yes
VNDA0E8AF6C,Nash LLC,Metals,South Africa,South Brandyburgh,Rhonda Ballard,patricia04@example.org,324.223.5238x49109,3.1,6,2020-09-18,2022-06-25,22.92,Yes
VND10335071,"King, Juarez and Bradley",Textiles,Liechtenstein,East Rachel,David Morrow,zsmith@example.net,770-628-8722x86298,4.2,7,2021-07-31,2024-10-06,19.71,No
VND190C8D31,Bennett Group,Logistics,South Georgia and the South Sandwich Islands,East Lee,Miss Catherine Smith,erica70@example.com,320-716-9098x51305,4.9,3,2022-09-01,2025-08-12,2.84,No
VND67D32B2F,"Nelson, Bryant and Walters",Consumer Goods,Qatar,Brownside,Jennifer Oneal,tarasmith@example.net,(763)745-3163x21912,5.0,10,2020-05-27,2023-12-13,22.03,No
VND048CF2D5,"Patel, Anthony and Moore",Logistics,Nepal,Ramirezmouth,Theresa Villegas,brian82@example.com,001-476-792-5178x486,4.3,5,2021-08-13,2023-02-20,47.42,No
VNDC178B24A,"Wright, Raymond and Fleming",Energy,Ecuador,West Brittanytown,Gina Castro,patriciacampos@example.org,+1-228-389-2701,4.3,6,2022-01-08,2024-05-12,39.26,No
VND3FC620C0,Stewart and Sons,Consumer Goods,Kenya,New Lisamouth,Ashley Pham,smithtraci@example.org,+1-507-316-9032x8902,5.0,9,2023-04-15,2025-03-24,43.68,Yes
VND5FE97D0B,Welch-Dawson,Pharmaceuticals,Saint Kitts and Nevis,Lake Kristenburgh,Mary Carter,tortega@example.net,(785)324-6044x808,4.5,8,2023-10-08,2025-06-17,24.17,No
VND6917D5FA,"Le, Shaw and Schultz",Energy,Liechtenstein,Valeriehaven,Paige Murphy,stephaniepowers@example.net,+1-971-289-6137x2997,4.0,6,2020-04-02,2021-07-24,53.64,Yes
VND1199176D,Smith-Smith,Electronics,Maldives,South Melvin,Cindy Key,ryan72@example.net,743-812-7010x4804,4.2,4,2023-01-03,2027-07-16,24.81,No
VND672E91CF,Mcmillan-Weiss,Textiles,Burundi,Ericmouth,John Daniel,jose14@example.org,299-487-5214x7218,4.6,1,2023-07-16,2025-09-24,58.33,No
VND417BDCE6,Cook and Sons,Logistics,Faroe Islands,Hernandezville,Ashley Burnett,codysims@example.net,(850)833-4636x36399,5.0,6,2021-07-14,2023-05-08,19.9,Yes
VNDE6A4DD03,Duke PLC,Electronics,Djibouti,Port Kevin,Kelly Espinoza,jonesjohn@example.com,9983420619,4.9,1,2020-11-01,2024-08-24,46.38,No
VND650A3AAA,"Alvarado, Osborne and Medina",Electronics,Norway,Lake Brianshire,Andrew Turner Jr.,robertbrock@example.com,916-781-4406x1557,4.4,11,2020-11-20,2025-06-07,0.07,Yes
VND220F792F,Hawkins Inc,Energy,Guernsey,Millerhaven,Bobby Holmes,williamsashley@example.org,(787)552-4527x65646,4.9,8,2022-02-07,2023-08-31,42.57,No
VND03F2A471,"Parrish, Miller and Reilly",Manufacturing,Albania,South Jonchester,Aaron Marquez,ellen61@example.org,732-376-5496x32793,5.0,3,2022-12-16,2025-02-26,19.58,No
VNDC73A3BD4,Huerta PLC,Manufacturing,Qatar,South Jacquelineburgh,Charles Nichols,jasonpierce@example.org,963.561.8820,4.6,7,2022-11-04,2027-09-28,52.41,No
VND139B2EB5,"Alvarado, Rivera and Newton",Logistics,Mozambique,Matamouth,Timothy Curtis,raymondlee@example.net,+1-407-338-4243,4.0,6,2023-03-22,2028-03-13,36.12,Yes
VND9724A5FF,"Murray, Francis and Robinson",Textiles,Bangladesh,Wilsonbury,Brian Rodriguez,ashleygaines@example.org,+1-600-973-8088,4.2,7,2022-06-14,2024-09-19,13.7,No
VND38095B8C,Ochoa and Sons,Consumer Goods,Mali,Vegahaven,Lisa Horton,brooke11@example.org,001-772-800-3717x537,3.8,7,2022-11-16,2027-10-11,13.66,Yes
VNDD24A1BC5,Gutierrez PLC,Technology,Serbia,Port Sonyatown,David Meyer,robert49@example.net,+1-921-677-9129x8522,4.2,4,2023-01-25,2024-04-07,25.97,No
VNDC4092504,Campbell-Guzman,Manufacturing,Congo,Torresmouth,Jason Wagner,toni14@example.org,9798738991,3.6,4,2022-04-14,2025-10-06,7.25,Yes
VND17D7E4DC,Henry-Church,Chemicals,Belarus,West Maryview,Debra Johnson,allisonwood@example.net,(483)269-4485,4.4,5,2023-05-01,2026-01-28,37.85,Yes
VNDAD897EA3,"Smith, Garner and Ramirez",Logistics,Timor-Leste,North Robert,Crystal Howard,cwashington@example.org,590.572.3459x73868,3.8,11,2023-05-14,2027-12-26,11.19,No
VNDAAF2A28A,Chavez Inc,Pharmaceuticals,Gambia,Michaelberg,David Mitchell,rmitchell@example.org,6056104612,4.3,9,2021-02-22,2023-07-26,57.81,Yes
VND397FE668,"Clayton, Kirk and Dalton",Electronics,Brazil,Costabury,Pamela Grimes,laurazuniga@example.com,983.923.3738x1005,3.6,7,2023-11-13,2027-05-17,0.0,No
VND2FE40F33,Rodriguez-Dominguez,Manufacturing,Thailand,Emilyfurt,Jerry Stephenson,mcox@example.com,(999)657-8111,3.3,5,2023-05-01,2025-06-05,37.25,Yes
VND4EA7F305,"Tyler, Ortiz and Ortiz",Chemicals,Kuwait,North Kellytown,Victoria Jefferson,chambersrobert@example.org,(622)940-0731x9397,4.7,5,2021-03-17,2022-11-05,52.36,No
VND4F7B00FC,"Gilmore, Medina and Foster",Textiles,Swaziland,Griffinview,Loretta Cummings,stewartwanda@example.org,328.962.2496,5.0,3,2022-02-13,2025-08-11,47.36,No
VNDF981F27F,Clark PLC,Pharmaceuticals,Malaysia,Krystalmouth,Derek Hernandez,ldavis@example.com,+1-223-791-0555x8943,4.9,7,2022-09-07,2024-03-16,6.4,Yes
VND6ACF147A,"Davis, King and Becker",Metals,China,South Melissa,Erin Rodriguez,christopherhamilton@example.com,001-710-805-8424x051,4.9,7,2021-04-20,2024-05-08,67.86,Yes
VND111F855A,"Kim, Harrell and Turner",Pharmaceuticals,Antigua and Barbuda,Lake Melissafort,Regina Powell,lpeck@example.com,+1-833-992-5953x677,3.5,3,2021-11-20,2022-12-25,37.99,No
VND2986F777,Young Inc,Manufacturing,Monaco,Rodriguezton,Deanna Sparks,eromero@example.com,+1-262-464-8200,4.6,7,2021-05-12,2023-10-27,18.29,Yes
VND6E96F23C,Huynh Ltd,Logistics,Spain,New Davidview,John Freeman,kimmartin@example.org,467-988-4157,4.2,8,2023-09-17,2025-06-27,54.13,Yes
VND8539FA55,"Lewis, Green and Carter",Logistics,Ecuador,West Veronica,Jacqueline Smith,alvaradomicheal@example.net,001-789-813-8080x789,4.3,13,2021-04-12,2025-04-22,48.83,No
VND09F13EB7,"Graves, Martinez and Jennings",Pharmaceuticals,Japan,Huertahaven,Natalie Smith,matthewwilliams@example.org,+1-540-545-2269,3.5,3,2020-03-21,2023-06-11,0.0,No
VND0CE75C53,"Campbell, Gordon and Parrish",Technology,Montserrat,Port Jilltown,Cassandra Burton,kevin46@example.net,(886)669-3248x55645,4.0,5,2020-01-02,2023-09-12,8.67,No
VNDBA0CC89B,Morgan PLC,Consumer Goods,Cote d'Ivoire,South Robinton,Casey Blanchard,matthew21@example.net,674-988-8239,5.0,6,2023-01-18,2027-01-27,12.96,No
VNDCFB6DC09,White-Snyder,Manufacturing,Seychelles,South Ronaldside,Samuel Sanchez,fordshelby@example.com,(639)364-2378,4.4,3,2022-05-29,2026-07-20,23.67,No
VND7254F792,Robinson-Johnson,Consumer Goods,Svalbard & Jan Mayen Islands,Jordanborough,Keith Yu DDS,fernandoparker@example.net,001-814-685-8521x864,3.5,3,2023-03-21,2024-09-01,28.26,No
VND49FA8EB1,Curry-Reynolds,Textiles,Puerto Rico,New Donald,Andrew Lopez,dorothy43@example.org,8847642415,4.3,5,2022-12-13,2025-01-05,52.24,Yes
VNDA9CEA40D,"Schroeder, Cox and Lopez",Metals,Kiribati,East Williamton,William Cobb,brianstevens@example.com,670-407-2391x194,3.9,6,2022-06-26,2025-07-20,35.15,No
VNDB598AD91,Frey-Jimenez,Logistics,Philippines,Cuevasbury,Nathan Willis,nlane@example.org,(212)353-2865x12386,5.0,9,2021-01-26,2025-12-03,0.0,Yes
VND0300765D,Howell Inc,Electronics,Morocco,Lewisside,Yvonne Anderson,kennethstout@example.org,+1-387-484-5613x5580,5.0,4,2020-01-27,2023-04-17,43.08,Yes
VNDA74DADEC,"Johnson, Macdonald and Martinez",Manufacturing,Angola,Maysview,Sarah Vaughn,john03@example.net,001-219-360-3024x721,3.3,1,2023-06-01,2024-10-22,0.0,No
VND616471F8,Johnson-Cruz,Metals,Argentina,North Shaunfort,Craig Lopez,jboyd@example.org,(569)879-6330,3.8,8,2023-10-29,2025-06-12,43.07,Yes
VNDD74D095B,"Lee, Rogers and Huffman",Textiles,Guernsey,West Joseville,Selena Bowers,kevin24@example.com,+1-274-918-1781x069,4.1,5,2021-05-31,2024-09-22,0.0,No
VND27CBAF37,Miller-Lopez,Consumer Goods,Brunei Darussalam,Lake Michael,Rebekah Taylor,gary14@example.com,(646)581-4724x87777,4.7,10,2022-02-06,2026-06-08,13.71,Yes
VND8C1D087C,White-Thornton,Electronics,Cuba,South Jacob,Karen Williamson,scott08@example.com,713.570.9100x4955,4.3,6,2022-07-21,2023-07-27,24.71,Yes
VND466655B2,Gonzalez and Sons,Electronics,Indonesia,New Megan,Phillip Bennett,brandon39@example.com,4126792754,3.3,9,2022-12-17,2026-10-14,28.43,No
VNDA957A7D0,"Salinas, Thomas and Russell",Energy,British Indian Ocean Territory (Chagos Archipelago),Allenmouth,Michael Reed,hchan@example.org,840-758-7903x50450,3.5,11,2021-07-01,2025-12-21,39.98,Yes
VNDE05F71D7,Fuller-Garner,Consumer Goods,Andorra,Smithshire,Tony Sanchez,whitney32@example.org,+1-540-877-6497x7895,5.0,3,2022-01-17,2024-03-27,2.31,Yes
VND27D705EA,Moore Ltd,Chemicals,Guinea,Fordside,Ian Peterson,jonathan49@example.net,(707)514-1020x3874,3.9,7,2020-01-17,2022-10-14,0.0,Yes
VND8BC82E76,Herrera LLC,Manufacturing,Suriname,East Rachelchester,Samantha Jones,waguilar@example.org,+1-998-953-4708x9720,5.0,3,2021-05-02,2024-09-10,28.69,Yes
VND86F10A10,Johnson PLC,Consumer Goods,Congo,Heathertown,Michael Baker,brian27@example.org,(285)729-6144,4.3,13,2020-10-30,2024-12-17,16.69,No
VND34BC34BC,"White, Bailey and Gardner",Manufacturing,Russian Federation,Greeneburgh,Catherine Pena,eringonzalez@example.org,(569)850-5825,4.4,10,2020-05-20,2022-02-02,45.97,Yes
VND0A251297,"Perez, Price and Henry",Technology,Mauritania,East Cory,Rachel Crawford,gjohnson@example.com,830.527.7384x49248,3.3,11,2020-01-12,2023-05-10,18.04,No
VND5B2EC8F1,Riley-Gonzalez,Logistics,Falkland Islands (Malvinas),North Nathan,Jordan George,racosta@example.net,001-239-964-4824x867,3.3,3,2021-09-11,2025-11-07,20.43,No
VND7E4DB750,"Gutierrez, Park and Petersen",Metals,Cameroon,Johnsonhaven,Deborah Allen,tsherman@example.net,403-963-4560,4.2,3,2022-07-26,2027-05-04,10.32,No
VND1A32B030,Anderson and Sons,Textiles,Mexico,Davidmouth,Stephen Moreno,benjamin65@example.net,(659)382-8792,3.2,9,2020-07-29,2021-10-04,72.33,Yes
